时间1,数据1,时间2,数据2,时间3,数据3
0.000,0.000,0.000,-0.703,1.637,-0.763
0.744,84.000,0.032,1.094,1.668,7.895
1.392,194.000,0.064,-0.469,1.699,0.299
2.112,425.000,0.096,-0.234,1.730,7.650
2.725,493.000,0.128,0.156,1.761,4.138
3.073,442.000,0.160,-0.391,1.792,3.893
4.416,431.000,0.192,1.719,1.823,-0.355
4.788,313.000,0.224,-0.781,1.854,1.116
5.520,395.000,0.256,0.781,1.885,7.405
6.804,307.000,0.288,1.562,1.916,16.308
7.249,263.000,0.320,8.516,1.947,19.983
7.801,367.000,0.352,1.484,1.978,26.763
9.660,309.000,0.384,3.906,2.009,32.725
10.489,272.000,0.416,1.172,2.040,39.015
10.944,259.000,0.448,3.594,2.071,44.895
11.341,307.000,0.480,4.609,2.102,49.061
11.676,310.000,0.512,4.922,2.133,52.737
11.988,322.000,0.544,4.062,2.164,58.536
14.628,408.000,0.576,2.734,2.195,60.905
15.288,578.000,0.608,3.516,2.226,71.768
16.056,803.000,0.640,2.812,2.257,94.230
16.821,596.000,0.672,5.156,2.288,79.037
17.653,0.000,0.704,-0.078,2.319,89.982
,,0.736,6.172,2.350,117.263
,,0.768,1.797,2.381,120.857
,,0.800,5.781,2.412,111.055
,,0.832,5.781,2.443,130.168
,,0.864,4.219,2.474,153.692
,,0.896,3.281,2.505,136.049
,,0.928,5.000,2.535,153.692
,,0.960,5.937,2.566,177.624
,,0.992,3.594,2.597,178.114
,,1.024,5.312,2.628,183.096
,,1.056,2.734,2.659,196.492
,,1.088,7.187,2.690,202.863
,,1.120,2.656,2.721,204.415
,,1.152,6.641,2.752,218.382
,,1.184,3.359,2.783,216.013
,,1.216,6.172,2.814,225.569
,,1.248,6.875,2.845,245.989
,,1.280,7.812,2.876,250.890
,,1.312,8.516,2.907,269.594
,,1.344,8.516,2.938,314.436
,,1.376,9.531,2.969,351.192
,,1.408,8.125,3.000,367.037
,,1.440,7.969,3.031,371.121
,,1.472,6.250,3.062,368.671
,,1.504,4.297,3.093,351.028
,,1.536,7.812,3.124,344.412
,,1.568,11.016,3.155,347.761
,,1.600,5.000,3.186,358.706
,,1.632,5.000,3.217,381.903
,,1.664,9.609,3.248,408.857
,,1.696,3.906,3.279,422.253
,,1.728,4.766,3.310,432.462
,,1.760,6.328,3.341,442.019
